Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
4/14/20 9:53,Massachusetts,2020-03-24,State-wide,,,Shelter-in-place order,Banned gatherings of a certain size,10,,,,"""On March 23, Governor Baker announced a stay-at-home advisory to be effective from March 24 until April 7. On March 31 the advisory which was extended to May 4.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts#Government_response
4/14/20 10:03,Michigan,2020-03-24,State-wide,,,Shelter-in-place order,,,,,,"""Effective March 24, Whitmer ordered all non-essential workers to stay at home, and all non-essential travel ceased.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 10:17,Mississippi,2020-03-24,State-wide,,,,Banned gatherings of a certain size,10,,,,"""On March 24, Governor Reeves issued an executive order deeming most businesses as ""essential"" including restaurants, bars and other establishments including dining in but limiting to 10 persons. """,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mississippi
4/14/20 10:21,Mississippi,2020-03-24,Fulton,,,Shelter-in-place order,,,,,,"""March 23 – Fulton issued a shelter-in-place order effective from March 24 to April 5""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 10:27,Missouri,2020-03-24,"St. Charles, Jefferson, St. Joseph, and Cass",,,Shelter-in-place order,,,,,,"""St. Charles County issued a stay-at-home order effective March 24."" and ""Jefferson County issued a stay-at-home order effective from March 24 through April 23."" and ""Cass County issued a stay-at-home order effective March 24 through April 24."" and ""St. Joseph issued a shelter-in-place order effective March 24 until April 2""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 14:12,Nevada,2020-03-24,State-wide,,,,Banned gatherings of a certain size,10,,,,"""... ordered Nevadans to cease congregating in groups of ten or more in public spaces;"" ",https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/Directive-013-Release-Guidance-Directive.pdf
4/14/20 14:28,New Mexico,2020-03-24,State-wide,,,Shelter-in-place order,,,,,,"""March 23: Governor Grisham announced a statewide stay-at-home order that requires 100% of non-essential business workforce to work from home effective March 24.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Mexico
4/14/20 17:38,Oklahoma,2020-03-24,State-wide,,,,"Suggested social distancing, Banned gatherings of a certain size",10,,,,"""Governor Kevin Stitt issued new executive orders that all vulnerable people were to stay at home until April 30 and there would be no visitors allowed to nursing homes or long-term care facilities. In addition, gatherings were limited to a maximum of ten people across the state as of midnight on March 24, 2020. """,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklahoma
4/14/20 17:47,Oklahoma,2020-03-24,Norman,,,Shelter-in-place order,,,,,,"""Norman issues a stay-at-home order effective March 25 until April 14.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina
4/14/20 18:11,Rhode Island,2020-03-24,"Block Island, Aquidneck Island",,,Shelter-in-place order,,,,,,"“March 24 – New Shoreham issues a shelter-in-place order for Block Island effective March 24 through April 15.” and ""The three towns located on Aquidneck Island - Newport, Middletown, and Portsmouth - all implement shelter-in-place orders...""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina
4/14/20 18:37,Rhode Island,2020-03-24,Aquidneck Island,,Travel restrictions for out of state travelers,,,,,,,"""The three towns located on Aquidneck Island - Newport, Middletown, and Portsmouth - all ... require all out-of-state or seasonal residents to quarantine for 14 days upon their arrival."" ",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rhode_Island
